Date,Time,Reference,Actual,Previous,Consensus
"Jul 31, 2024",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
"Sep 18, 2024",14:00,Fed Interest Rate Decision,5.0%,5.5%,5.0%
"Nov 07, 2024",14:00,Fed Interest Rate Decision,4.75%,5.0%,4.75%
"Dec 18, 2024",14:00,Fed Interest Rate Decision,4.5%,4.75%,4.5%
"Jan 29, 2025",14:00,Fed Interest Rate Decision,4.5%,4.5%,4.5%
"Mar 19, 2025",14:00,Fed Interest Rate Decision,4.5%,4.5%,4.5%
"May 07, 2025",14:00,Fed Interest Rate Decision,4.5%,4.5%,4.5%
"Jun 18, 2025",14:00,Fed Interest Rate Decision,4.5%,4.5%,4.5%
"Jul 30, 2025",14:00,Fed Interest Rate Decision,4.5%,4.5%,4.5%
"Sep 17, 2025",14:00,Fed Interest Rate Decision,4.25%,4.5%,4.25%
"Oct 29, 2025",14:00,Fed Interest Rate Decision,4.0%,4.25%,4.0%
"Dec 10, 2025",14:00,Fed Interest Rate Decision,3.75%,4.0%,3.75%
"Jan 28, 2026",14:00,Fed Interest Rate Decision,3.75%,3.75%,3.75%
"Mar 18, 2026",14:00,Fed Interest Rate Decision,3.75%,3.75%,3.75%
"Apr 29, 2026",14:00,Fed Interest Rate Decision,3.75%,3.75%,3.75%
"Jun 17, 2026",14:00,Fed Interest Rate Decision,3.75%,3.75%,3.75%
"Jul 29, 2026",14:00,Fed Interest Rate Decision,3.75%,3.75%,3.75%
"Sep 16, 2026",14:00,Fed Interest Rate Decision,,3.75%,
"Oct 28, 2026",14:00,Fed Interest Rate Decision,,,
"Dec 09, 2026",14:00,Fed Interest Rate Decision,,,
